date,fav_sum,fav_mean,net_probability_subjective,polls,running_pos_avg,geom_avg
2011-12-25,0.196038217836,0.049009554459,-1.80396178216,44.6,0.150490771552,0.182739744713
2011-12-27,0.319043606551,0.159521803275,-0.680956393449,44.6,0.156316070407,0.247308862403
2011-12-28,1.6442066932,0.32884133864,-0.855793306798,44.6,0.197522809408,0.42582338538
2011-12-29,1.06494079521,0.152134399316,-2.43505920479,45.0,0.198193494108,0.294079990251
2011-12-30,1.04497910229,0.0803830078688,-5.45502089771,45.0,0.153978020712,0.198019825062
2011-12-31,0.0749718687263,0.0749718687263,-0.425028131274,45.0,0.159170483565,0.166137942622
2012-01-01,2.08794330906,0.231993701006,-2.41205669094,45.0,0.173664863112,0.309856654483
2012-01-02,1.13389462458,0.113389462458,-3.86610537542,45.0,0.130574487875,0.223240711782
2012-01-03,2.34178881917,0.146361801198,-5.65821118083,45.0,0.129419968251,0.239471129301
2012-01-04,7.87162605764,0.140564751029,-20.1283739424,45.0,0.141456316884,0.235470537374
2012-01-05,5.29530577987,0.17081631548,-10.2046942201,44.7,0.160625206234,0.264584567744
2012-01-06,3.45534958121,0.164540456248,-7.04465041879,44.7,0.147134557283,0.265236062344
2012-01-07,2.00481750216,0.143201250154,-4.99518249784,44.7,0.153096914822,0.245257193132
2012-01-08,2.05750533746,0.0857293890606,-9.94249466254,44.7,0.140970432394,0.183323941886
2012-01-09,3.5408086757,0.136184949065,-9.4591913243,44.9,0.140094472002,0.217609387416
2012-01-10,3.93460666254,0.140521666519,-10.0653933375,45.2,0.13403554221,0.22722974263
2012-01-11,9.0871225914,0.154019026973,-20.4128774086,45.1,0.131931256354,0.243250299497
2012-01-12,5.07821833386,0.153885404056,-11.4217816661,45.1,0.134068087135,0.247441333114
2012-01-13,4.36327829922,0.229646226275,-5.13672170078,45.2,0.162851454578,0.325083854008
2012-01-14,1.84351709092,0.204835232325,-2.65648290908,45.2,0.17658151123,0.320234510375
2012-01-15,1.59371787977,0.132809823315,-4.40628212023,45.5,0.175039142589,0.251043883584
2012-01-16,4.84244875757,0.186248029137,-8.15755124243,45.0,0.181484943022,0.288858666954
2012-01-17,6.511929536,0.1860551296,-10.988070464,45.3,0.18791888813,0.295780837966
2012-01-18,6.06504089609,0.303252044805,-3.93495910391,45.0,0.202640051836,0.415677181626
2012-01-19,2.88020176514,0.10667413945,-10.6197982349,45.0,0.183007833261,0.249840509622
2012-01-20,3.75635427891,0.129529457893,-10.7436457211,45.0,0.182351760177,0.237487382402
2012-01-21,0.726439504244,0.0518885360174,-6.27356049576,45.0,0.155479861553,0.151684258511
2012-01-22,2.14108387747,0.0892118282279,-9.85891612253,45.0,0.136111201279,0.165018060868
2012-01-23,2.39733266739,0.159822177826,-5.10266733261,45.2,0.107425227883,0.233527862143
2012-01-24,5.12332851773,0.165268661862,-10.3766714823,45.2,0.119144132365,0.25406883027
2012-01-25,2.93801946287,0.113000748572,-10.0619805371,45.2,0.115838390501,0.20893865525
2012-01-26,4.03349244663,0.224082913702,-4.96650755337,45.0,0.150277266038,0.310359640741
2012-01-27,4.7257567494,0.168777026764,-9.2742432506,44.9,0.166190305745,0.278914741229
2012-01-28,5.07023972767,0.266854722509,-4.42976027233,44.9,0.187596814682,0.373408847859
2012-01-29,1.95579481092,0.195579481092,-3.04420518908,45.0,0.193658978528,0.326129390724
2012-01-30,2.38986413714,0.11380305415,-8.11013586286,45.1,0.193819439643,0.237501195546
2012-01-31,5.66166632371,0.176927072616,-10.3383336763,45.2,0.184388271426,0.27858541711
2012-02-01,7.1023487783,0.161417017689,-14.8976512217,45.3,0.182916269611,0.269442475168
2012-02-02,2.96038188957,0.164465660531,-6.03961811043,45.5,0.162438457215,0.270574607253
2012-02-03,3.93501897651,0.171087781587,-7.56498102349,45.5,0.157540117315,0.277091870753
2012-02-04,2.8375633299,0.18917088866,-4.6624366701,45.4,0.172613684217,0.296668541608
2012-02-05,0.859596109693,0.0505644770408,-7.64040389031,45.1,0.147341165102,0.163188117302
2012-02-06,0.553822016273,0.0553822016273,-4.44617798373,44.5,0.126134201889,0.135680782179
2012-02-07,2.00318496048,0.16693208004,-3.99681503952,44.1,0.126627485791,0.234359389457
2012-02-08,5.55375484672,0.222150193869,-6.94624515328,44.3,0.136839968247,0.310193970831
2012-02-09,3.15752707502,0.166185635527,-6.34247292498,44.1,0.132242917621,0.275786016916
2012-02-10,4.40025280051,0.231592252658,-5.09974719949,43.6,0.168448472744,0.337097251547
2012-02-11,2.97081087892,0.297081087892,-2.02918912108,43.9,0.216788249997,0.418282932438
2012-02-12,0.838920203917,0.0932133559907,-3.66107979608,43.8,0.202044505187,0.238072820104
2012-02-13,1.25807754072,0.251615508143,-1.24192245928,43.9,0.207937568042,0.357034390333
2012-02-14,0.420139889175,0.140046629725,-1.07986011083,43.1,0.202709766882,0.269301073517
2012-02-15,1.21663399618,0.101386166348,-4.78336600382,43.0,0.17666854962,0.212204388853
2012-02-16,2.99695141431,0.176291259665,-5.50304858569,43.4,0.152510583975,0.270085643291
2012-02-17,2.86736402336,0.159298001298,-6.13263597664,43.3,0.165727513036,0.263698695026
2012-02-18,0.437588660867,0.0546985826084,-3.56241133913,43.2,0.126344127929,0.158463892398
2012-02-19,1.42623112229,0.142623112229,-3.57376887771,43.4,0.12685942443,0.219980189748
2012-02-20,1.77626541921,0.177626541921,-3.22373458079,43.3,0.142107499544,0.265151134375
2012-02-21,3.14205832533,0.196378645333,-4.85794167467,43.4,0.146124976678,0.295728715448
2012-02-22,1.20957132034,0.134396813372,-3.29042867966,43.4,0.141144739092,0.243505055037
2012-02-23,4.29569344026,0.178987226677,-7.70430655974,43.9,0.166002467906,0.277374579417
2012-02-24,4.72458494697,0.337470353355,-2.27541505303,44.1,0.204971916131,0.442908384751
2012-02-25,1.77038658252,0.177038658252,-3.22961341748,44.1,0.204854339398,0.324985531977
2012-02-26,5.88490013291,0.294245006645,-4.11509986709,44.3,0.22442761166,0.421255639659
2012-02-27,0.965794840112,0.0877995309192,-4.53420515989,44.1,0.21510815517,0.237169142835
2012-02-28,2.64556350255,0.132278175128,-7.35443649745,44.0,0.20576634486,0.240040247676
2012-02-29,5.4326939894,0.194024785336,-8.5673060106,44.7,0.177077231256,0.295763441707
2012-03-01,2.30133381156,0.121122832188,-7.19866618844,44.4,0.165894066043,0.234170476625
2012-03-02,2.09776370834,0.209776370834,-2.90223629166,44.3,0.149000338881,0.308726082419
2012-03-03,1.97383132122,0.32897188687,-1.02616867878,44.3,0.197234810071,0.443960255517
2012-03-04,3.47555791775,0.231703861183,-4.02444208225,44.4,0.217119947282,0.382901150866
2012-03-05,2.11145925216,0.211145925216,-2.88854074784,44.4,0.220544175258,0.354601389572
2012-03-06,1.74264773361,0.0871323866805,-8.25735226639,44.3,0.213746086157,0.224097317866
2012-03-07,10.8434594222,0.221295090248,-13.6565405778,44.3,0.21604983004,0.32499099828
2012-03-08,5.31328043859,0.241512747209,-5.68671956141,44.5,0.198558002107,0.364047918666
2012-03-09,2.31637174079,0.193030978399,-3.68362825921,44.8,0.19082342555,0.32738676739
2012-03-10,1.88551345931,0.125700897287,-5.61448654069,45.0,0.173734419965,0.253456277612
2012-03-11,3.12837590371,0.284397809428,-2.37162409629,45.5,0.213187504514,0.393083724412
2012-03-12,2.04680435089,0.227422705655,-2.45319564911,45.5,0.214413027596,0.367299080492
2012-03-13,1.55760062497,0.141600056815,-3.94239937503,44.5,0.194430489517,0.280132678206
2012-03-14,6.82709206487,0.243824716602,-7.17290793513,44.0,0.204589237158,0.361494711639
2012-03-15,3.24298697137,0.216199131425,-4.25701302863,44.1,0.222688883985,0.350622245457
2012-03-16,1.46972531987,0.146972531987,-3.53027468013,44.0,0.195203828497,0.281122902036
2012-03-17,0.780526561314,0.111503794473,-2.71947343869,43.6,0.172020046261,0.228764013485
2012-03-18,2.62299156996,0.327873946245,-1.37700843004,43.8,0.209274824147,0.428991888556
2012-03-19,2.80921037326,0.175575648329,-5.19078962674,44.0,0.195625010492,0.322867827042
2012-03-20,2.34989210282,0.167849435916,-4.65010789718,43.9,0.18595507139,0.296410136018
2012-03-21,6.21546148029,0.230202277048,-7.28453851971,43.8,0.202601020402,0.350330386891
2012-03-22,5.10638394532,0.283687996962,-3.89361605468,43.4,0.2370378609,0.415486429056
2012-03-23,4.04757642483,0.269838428322,-3.45242357517,43.6,0.225430757315,0.419739961772
2012-03-24,1.57413656182,0.262356093636,-1.42586343818,43.4,0.242786846377,0.417253365986
2012-03-25,1.65982500284,0.138318750237,-4.34017499716,43.6,0.236880709241,0.294704135132
2012-03-26,0.584052925285,0.0648947694761,-3.91594707472,43.3,0.203819207727,0.191770213001
2012-03-27,1.38508062886,0.346270157215,-0.614919371138,43.5,0.216335639777,0.442238687268
2012-03-28,1.75838144553,0.219797680691,-2.24161855447,43.4,0.206327490251,0.371190424852
2012-03-29,2.66302721288,0.204848247145,-3.83697278712,43.7,0.194825920953,0.347141411896
2012-03-30,3.45554277848,0.230369518565,-4.04445722152,43.0,0.213236074618,0.366740312783
2012-03-31,0.178120604608,0.0445301511521,-1.82187939539,43.2,0.209163150954,0.184955675696
2012-04-01,1.29439920659,0.143822134065,-3.20560079341,43.0,0.168673546324,0.239481655792
2012-04-02,3.03156087645,0.252630073037,-2.96843912355,43.3,0.175240024793,0.35341714955
2012-04-03,3.91712021044,0.261141347363,-3.58287978956,43.3,0.186498644836,0.389174505536
2012-04-04,3.52545827123,0.146894094635,-8.47454172877,43.6,0.16980356005,0.288368352878
2012-04-05,5.28603036713,0.211441214685,-7.21396963287,43.6,0.203185772757,0.331254355771
2012-04-06,2.6598772139,0.221656434492,-3.3401227861,43.4,0.218752632842,0.349036923759
2012-04-07,0.193545412752,0.0322575687919,-2.80645458725,43.1,0.174678131993,0.164934785415
2012-04-08,0.300024759766,0.300024759766,-0.199975240234,43.1,0.182454814474,0.387855804168
2012-04-09,0.548077794513,0.182692598171,-0.951922205487,43.3,0.189614515181,0.317872111464
2012-04-10,1.80186139301,0.150155116084,-4.19813860699,43.2,0.177357295461,0.274861197986
2012-04-11,5.76932488806,0.262242040366,-5.23067511194,43.2,0.185474416636,0.375600363349
2012-04-12,3.09852650256,0.172140361254,-5.90147349744,43.6,0.213450975128,0.308513466106
2012-04-13,2.77786369941,0.198418835672,-4.22213630059,44.2,0.193129790309,0.321945623479
2012-04-14,1.16905164015,0.116905164015,-3.83094835985,44.2,0.179972303478,0.242241587329
2012-04-15,0.992327948941,0.248081987235,-1.00767205106,44.2,0.199557677708,0.353604588846
2012-04-16,1.704558183,0.1704558183,-3.295441817,44.1,0.181200433295,0.299985738808
2012-04-17,1.22149680084,0.0872497714886,-5.77850319916,44.1,0.164222315342,0.207017274726
2012-04-18,3.40994827322,0.309995297566,-2.09005172678,45.3,0.186537607721,0.405386984284
2012-04-19,1.29986481336,0.144429423707,-3.20013518664,44.7,0.192042459659,0.284477625642
2012-04-20,2.10294299814,0.233660333126,-2.39705700186,44.6,0.189158128837,0.35080723208
2012-04-21,0.952929903722,0.119116237965,-3.04707009628,44.5,0.17889021277,0.250068492572
2012-04-22,0.332363583109,0.332363583109,-0.167636416891,44.4,0.227912975095,0.440348459085
2012-04-23,2.49194900054,0.138441611141,-6.50805099946,44.3,0.19360223781,0.290083817061
2012-04-24,2.02216407601,0.15555108277,-4.47783592399,44.1,0.195826569622,0.277176036725
2012-04-25,1.99501411369,0.105000742826,-7.50498588631,44.0,0.170094651562,0.219425412669
2012-04-26,4.15569139734,0.346307616445,-1.84430860266,43.9,0.215532927258,0.444187880844
