,author,date,section,word_count,abstract,headline,source
63,,"Dec 3, 2011",News,376,C. Closure of postal office's Scranton Processing and Distribution Center,News Quiz 12/3/2011,The Times - Tribune
64,"Krawczeniuk, Borys","Jan 26, 2011",News,638,"""In the long run, though, we need to get our fiscal house in order,"" he said. Keeping spending under control, he added, will have to be a ""shared sacrifice"" by all agencies.",Casey Calls Speech 'strong'; Barletta Says Tone Was Right,Standard - Speaker
65,,"Dec 11, 2011",News,1718,"""We like getting involved with everything and getting involved in the community,"" said [Katrina Kotcho]. ""We're very excited.""",School Notes 12/12/2011,The Times - Tribune
66,,"Aug 2, 2012",Opinion,694,"This is in regards to the cleanup. Why do the city workers have to clean up for the businesses in town? If you are a property owner, you should be cleaning it up yourself. I don't expect the city to come to my house and clean up my sidewalk. Sure, it is nice what Mountainside did, but, come on, property owners, don't get complacent.","Sound Off: Thursday August 2, 2012",The News - Item
67,,"Sep 22, 2012",Opinion,403,"Anyone who expresses Christian values in public is an extremist. Anyone who supports traditional marriage is an extremist. Anyone who refuses to pay, by force, for contraceptives for oversexed feminists is an extremist; the Catholic Church and all Christians, because they won't accept a bureaucratic mandate that forces them to stop believing and acting like Christians. Anyone who believes in the Second Amendment that contradicts their anti-gun views is an extremist. For that matter, that includes the First Amendment for those who hold contrary views of the politically correct crowd.",Democrats Now Intolerant Party,Republican & Herald
68,"Singleton, David","Sep 15, 2011",News,1037,"""We are going to hopefully get what we need here and fully fund FEMA for next year,"" [Lou Barletta] said. ""I'm going to be fighting for more disaster money so when people are victims of a natural disaster they don't have to worry. I will do everything I can to see we get everything we need.""",Cold Adds To Misery For Flood Victims,Standard - Speaker
69,"Wellock, Bill","Mar 31, 2012",News,417,"""She's exemplary of a conservative Republican woman who holds traditional values that a lot of people here in Pennsylvania still consider to be a part of the nation's values,"" [Ada Magni] said.",Elizabeth Santorum Stumps For Dad,Citizens' Voice
70,"KRAWCZENIUK, BORYS","Sep 1, 2011",News,583,"""I still think the presidential race in our state is very unsettled,"" Madonna said. ""I don't think people have taken a tough, hard look at it yet and that will come.""",Poll: Pennsylvanians Not High On Politicians,Standard - Speaker
71,"Singleton, David","Nov 30, 2011",News,1439,"Scranton resident Ray Nearhood, a Republican who made an unsuccessful run for city controller in the Nov. 8 election, said despite the White House spin, [Barack Obama]'s appearance at the high school was a campaign stop. ""He is doing it on the American public's dime,"" Nearhood said, adding that the president's campaign - not the taxpayers - should be footing the bill. ""We are sick and tired of this Chicago-style political crap.""",Obama Crowd Comes With Expectations,Citizens' Voice
72,,"Mar 20, 2012",Opinion,527,"To the person from Port Carbon who thinks most Catholics won't vote for Obama because of birth control: I've got news for him. I know Catholics who use birth control. They are good Catholic women. If somebody likes Obama, they're not going to not vote for him because of that. This is a democracy - government of the people, by the people, for the people, regardless of their religion. He is not attacking a religion. He is giving women their rights.",Thunder/Enlightning,Republican & Herald
73,Anonymous,"Aug 11, 2011",Opinion,1141,"Well into our second ""recovery summer,"" we now find out that each job [Obama]-Biden ""created or saved"" cost over $270,000, and that the only thing that was ""shovel ready"" was the rat hole that their $800 billion stimulus was shoveled down.",Letters To The Editor - 8/12/2011,The Times - Tribune
74,"Jackson, Kent","Jun 28, 2012",News,891,"""I see whoever, whenever. That's always been my philosophy. However, the health industry as a whole has not done that,"" [Robert Childs] said. ""Now it's time for the insurers and health industry to work together to provide that.","Local Health Professionals, Insurers Speak Out On Decision",Standard - Speaker
75,,"Jul 24, 2012",Opinion,797,"To everybody crying about the Penn State sanctions, get a life. If you could feel the pain for just five minutes that those victimized kids will feel the rest of their lives, you probably wouldn't be so worried about something as trivial and meaningless as football. Nothing, not Paterno's legacy or Penn State's economy, excuses these heinous crimes or their cover-up.",Sound Off 07-25-12,The News - Item
76,"RANDOM, RODERICK","Dec 2, 2011",Opinion,819,"""I don't know whether it's just because I proposed it,"" he said. ""Republicans say they're the party of tax cuts. That's what they say. A lot of them have sworn an oath to never raise taxes on anybody as long as they live. That doesn't square with their vote against these tax cuts. I mean, how is it that they can break their oath when it comes to raising your taxes, but not break their oath when it comes to raising taxes for wealthy people? That doesn't make any sense. I mean, I hope that they don't want to just score political points. I hope that they want to help the economy.""","If It's 'class Warfare,' Obama Has Most Troops",The Times - Tribune
77,,"Sep 14, 2012",Opinion,745,"These days, I'm an assistant editor at the same newspaper living a family life in a three-bedroom home in Mount Carmel Township. Because the house was purchased at tax sale, we don't have a mortgage, but the household budget is responsible for water, sewer, electric heat, coal for the furnace and homeowners insurance. I traded the two-door car for a small SUV, which gets about 20 mpg, when I learned of Dylan's pending arrival, but because I no longer drive all over creation taking photos of sports and other events, I don't use nearly as much fuel.",'Better Off' Question Off-base,The News - Item
78,"Krawczeniuk, Borys","Oct 19, 2011",News,661,"On Wednesday, just before the vote, [Bob Casey] praised Mariani's 34 years as ""a civil litigator in Scranton, Pa., where he specializes in labor and employment law.""",U.S. Senate Confirms Scranton Attorney As Federal District Judge,Citizens' Voice
79,,"Oct 2, 2012",Opinion,25,Wilkes-Barre,Country Would Be Better Off If Obama Loses The Election,Citizens' Voice
80,Anonymous,"Jun 08, 2011",Opinion,620,"I am a retired LPN. I had a year of very intense training and I loved taking care of and helping my patients however I could. There is a definite need for LPNs and how any misguided person believes there is not, I don't understand. I'm sure time will prove them wrong.",Thunder/Enlightning,Republican & Herald
81,"Bortner, Peter E","Sep 30, 2011",News,835,"""Water has to come out of the mine somewhere,"" he said. ""The issues aren't necessarily just here in the borough. The issues are watershed-wide.""","Officials, Experts Meet In Pine Grove To Discuss Flood Plans",Republican & Herald
82,"Wellock, Bill","Mar 31, 2012",News,281,"Several months ago, Donna Baloga, president of the council, asked a friend who knows the Santorum family if [Elizabeth Santorum] could speak at the organization's breakfast. Ms. Baloga learned two weeks ago that Ms. Santorum would make a stop in Wilkes-Barre.",Santorum's Daughter Speaks At Wilkes-Barre Breakfast,The Times - Tribune
83,,"Feb 17, 2012",Opinion,1022,"Maybe we will see a cartoon of President Obama quoting the Bible on his policy pertaining to abortion. Not likely. The Bible tells us to respect and protect the life of all things God created. How about quoting Jesus preaching on class warfare, and telling people to be jealous of people of wealth? Nope, won't find that. In fact, the 10th Commandment tells us not to be envious of what our neighbor has, but rather be grateful for the gifts God has given us, no matter how small.",Letters To The Editor - 2/18/2012,The Times - Tribune
84,,"Sep 29, 2012",Opinion,377,"Lawmakers already have refused to enact reforms to preclude large-scale tax avoidance strategies by companies. Many employ the ""Delaware Loophole,"" for example, which enables them to evade the state corporate net income tax by operating as subsidiaries of shell companies in low-tax or no-tax states such as Delaware.",Rush To Give Away Store,The Times - Tribune
85,,"Mar 8, 2012",Opinion,691,"In regards to pets in Mount Carmel, there is an elderly couple who just moved back into their house who own a dog. The gentleman kicks the dog every day. These people can't take care of themselves, let alone this poor dog. The dog doesn't deserve to be kicked because they are sick. Where can I go for help for this dog? Frog's take: I take it you are using the term gentleman loosely.",Sound Off 03-09-12,The News - Item
86,,"Oct 20, 2012",Opinion,164,"We have had more than 50 signs stolen or destroyed in lower Northumberland County. If you like President Obama, that is not a reason to steal 25 Romney-Ryan signs.",Sign Stealers Won't Deter Efforts,The News - Item
